horodatage,evenement,type_entite,id_entite,details,profil
2026-07-01T09:00:00+02:00,DONNEES_CHARGEES,SYSTEME,INITIALISATION,Données initiales chargées,SYSTEME
2026-08-01T19:33:32+02:00,REGLES_MODIFIEES,CONFIGURATION,QUALITY_RULES,0 champ(s) dérivé(s) recalculé(s),EMPLOYE
2026-08-01T19:33:34+02:00,REGLES_MODIFIEES,CONFIGURATION,QUALITY_RULES,0 champ(s) dérivé(s) recalculé(s),MANAGER
2026-08-01T19:33:38+02:00,REGLES_MODIFIEES,CONFIGURATION,QUALITY_RULES,0 champ(s) dérivé(s) recalculé(s),QUALITE
2026-08-01T19:33:42+02:00,REGLES_MODIFIEES,CONFIGURATION,QUALITY_RULES,0 champ(s) dérivé(s) recalculé(s),MANAGER
2026-08-01T19:33:43+02:00,REGLES_MODIFIEES,CONFIGURATION,QUALITY_RULES,0 champ(s) dérivé(s) recalculé(s),EMPLOYE
2026-08-01T19:34:05+02:00,REGLES_MODIFIEES,CONFIGURATION,QUALITY_RULES,0 champ(s) dérivé(s) recalculé(s),QUALITE
